source,variable,table,description,data_type,logic
survey,disability_type_2_6,person,Travel assistance used: Motorized scooter,integer/categorical,"Daily 4: If disability = ""Yes"""
survey,disability_type_2_7,person,Travel assistance used: Manual wheelchair,integer/categorical,"Daily 4: If disability = ""Yes"""
survey,disability_type_2_8,person,Travel assistance used: Motorized wheelchair,integer/categorical,"Daily 4: If disability = ""Yes"""
survey,disability_type_2_9,person,"Travel assistance used: A companion, caregiver, or aid",integer/categorical,"Daily 4: If disability = ""Yes"""
survey,disability_type_2_10,person,Travel assistance used: Something else,integer/categorical,"Daily 4: If disability = ""Yes"""
survey,disability_type_2_996,person,Travel assistance used: None of the above,integer/categorical,"Daily 4: If disability = ""Yes"""
survey,disability_type_2_998,person,Travel assistance used: Don't know,integer/categorical,"Daily 4: If disability = ""Yes"""
survey,disability_type_2_999,person,Travel assistance used: Prefer not to answer,integer/categorical,"Daily 4: If disability = ""Yes"""
survey,disability_transit_1_ask,person,Does person request accommodations when using public transportation?,integer/categorical,"Daily 4: If disability = ""Yes"""
survey,disability_transit_1_type_1,person,Type of accommodation requested when using public transportation: Reading/navigating signs,integer/categorical,"Daily 4: If disability_transit_1_ask is not ""Never"""
survey,disability_transit_1_type_2,person,Type of accommodation requested when using public transportation: Ramp,integer/categorical,"Daily 4: If disability_transit_1_ask is not ""Never"""
survey,disability_transit_1_type_3,person,Type of accommodation requested when using public transportation: Accessible seat,integer/categorical,"Daily 4: If disability_transit_1_ask is not ""Never"""
survey,disability_transit_1_type_4,person,Type of accommodation requested when using public transportation: Boarding assistance,integer/categorical,"Daily 4: If disability_transit_1_ask is not ""Never"""
survey,disability_transit_1_type_997,person,Type of accommodation requested when using public transportation: Other,integer/categorical,"Daily 4: If disability_transit_1_ask is not ""Never"""
